diff_median_sample,file,gnss_max,gnss_median,gnss_min,gnss_p01,gnss_p99,lidar_max,lidar_min,name,point_count,pos_cover_rate,pulse_max,pulse_min,reason,seq,size_bytes,status,total_pulses
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00002_20260510190425.h5,39864.667983404,39863.101578528,39861.681139656,39861.709603407995,39864.63009561124,39882.667983404,39879.681139656,L1_cap_00002_20260510190425.h5,1446682,1.0,1408351.0,1.0,,2,209231584,OK,1408351.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00003_20260510190428.h5,39867.685461332,39866.177547692,39864.667985404,39864.699379228005,39867.655367511994,39885.685461332,39882.667985404,L1_cap_00003_20260510190428.h5,1536385,1.0,1495655.0,1.0,,3,222598640,OK,1495655.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00004_20260510190431.h5,39870.687245252,39869.186581624,39867.685463332,39867.715493432,39870.657133152,39888.687245252,39885.685463332,L1_cap_00004_20260510190431.h5,1529299,1.0,1488340.0,1.0,,4,221740600,OK,1488340.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00005_20260510190434.h5,39873.689547228,39872.188677552,39870.687247252,39870.717194912,39873.659765568,39891.689547228,39888.687247252,L1_cap_00005_20260510190434.h5,1529377,1.0,1488613.0,1.0,,5,221605900,OK,1488613.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00006_20260510190437.h5,39876.69100918,39875.358950312,39873.689549228,39873.729453416,39876.667561131995,39894.69100918,39891.689549228,L1_cap_00006_20260510190437.h5,2031298,1.0,1488039.0,1.0,,6,207175500,OK,1488039.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00007_20260510190440.h5,39880.192596228,39878.48145088,39876.69101118,39876.728565496,39880.160727940005,39898.192596228,39894.69101118,L1_cap_00007_20260510190440.h5,2674008,1.0,1735839.0,1.0,,7,265615356,OK,1735839.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00008_20260510190443.h5,39883.195864316,39881.34233328,39880.192598232,39880.21639034,39883.175962884,39901.195864316,39898.192598232,L1_cap_00008_20260510190443.h5,1800668,1.0,1131795.0,1.0,,8,220990836,OK,1131795.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00009_20260510190446.h5,39886.198166432,39884.69413602,39883.195866316,39883.22624046,39886.166726284,39904.198166432,39901.195866316,L1_cap_00009_20260510190446.h5,2354705,1.0,1488557.0,1.0,,9,288785840,OK,1488557.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00010_20260510190449.h5,39889.126194084,39887.707322204,39886.198168436,39886.227586412,39889.099854119995,39907.126194084,39904.198168436,L1_cap_00010_20260510190449.h5,2352593,1.0,1488172.0,1.0,,10,285938224,OK,1488172.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00011_20260510190452.h5,39892.202980792,39890.704360352,39889.126196084,39889.156820228,39892.171961584005,39910.202980792,39907.126196084,L1_cap_00011_20260510190452.h5,2357654,1.0,1488816.0,1.0,,11,278794380,OK,1488816.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00012_20260510190455.h5,39895.204541028,39893.706713572,39892.202982788,39892.231828924,39895.175598892,39913.204541028,39910.202982788,L1_cap_00012_20260510190455.h5,2359266,1.0,1487780.0,1.0,,12,272412092,OK,1487780.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00013_20260510190458.h5,39898.206689292,39896.707173814,39895.204543028,39895.235676076,39898.179486264,39916.206689292,39913.204543028,L1_cap_00013_20260510190458.h5,2341646,1.0,1488298.0,1.0,,13,269982412,OK,1488298.0
1.0,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00014_20260510190501.h5,1488501.0,744580.5,1.0,15358.79,1474967.21,1488519.0,19.0,L1_cap_00014_20260510190501.h5,2354180,0.0011311794340279843,1488501.0,1.0,GNSS_SEC_CH1 appears to contain pulse index/count values,14,273642372,REPAIR_CANDIDATE,1488501.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00015_20260510190504.h5,39904.211055944,39902.648082152,39901.2092316,39901.237332912,39904.18087461764,39922.211055944,39919.2092316,L1_cap_00015_20260510190504.h5,2244460,1.0,1417675.0,1.0,,15,262960720,OK,1417675.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00016_20260510190507.h5,39907.213022288,39905.712035748,39904.211057944,39904.241168088,39907.18143214,39925.213022288,39922.211057944,L1_cap_00016_20260510190507.h5,2351759,1.0,1488298.0,1.0,,16,275888644,OK,1488298.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00017_20260510190510.h5,39910.213994688,39908.71285512,39907.213024288,39907.2411597214,39910.183392544,39928.213994688,39925.213024288,L1_cap_00017_20260510190510.h5,2352966,1.0,1487780.0,1.0,,17,268751216,OK,1487780.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00018_20260510190513.h5,39913.216437116,39911.709938516,39910.213996688,39910.24544484,39913.185124968,39931.216437116,39928.213996688,L1_cap_00018_20260510190513.h5,2341097,1.0,1488557.0,1.0,,18,275800532,OK,1488557.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00019_20260510190516.h5,39916.217927592,39914.715988996,39913.216439116,39913.24652326,39916.187263448,39934.217927592,39931.216439116,L1_cap_00019_20260510190516.h5,2333063,1.0,1488039.0,1.0,,19,274845312,OK,1488039.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00020_20260510190519.h5,39919.22009008,39917.722088492,39916.217929592,39916.249415724,39919.193593972,39937.22009008,39934.217929592,L1_cap_00020_20260510190519.h5,2335600,1.0,1488410.0,1.0,,20,270279020,OK,1488410.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00021_20260510190522.h5,39922.221706612,39920.718524968,39919.22009208,39919.250704228,39922.19024046,39940.221706612,39937.22009208,L1_cap_00021_20260510190522.h5,2335536,1.0,1488130.0,1.0,,21,259363540,OK,1488130.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00022_20260510190525.h5,39925.228755196,39923.406767004,39922.221708616,39922.24344672,39925.206868952,39943.228755196,39940.221708616,L1_cap_00022_20260510190525.h5,1851908,1.0,1176070.0,1.0,,22,215447128,OK,1176070.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00023_20260510190528.h5,39928.232275788,39926.739240168,39925.228757196,39925.25819004,39928.202636948,39946.232275788,39943.228757196,L1_cap_00023_20260510190528.h5,2374936,1.0,1488984.0,1.0,,23,274960908,OK,1488984.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00024_20260510190531.h5,39931.233738396,39929.73363274,39928.232277788,39928.264355944,39931.207897051994,39949.233738396,39946.232277788,L1_cap_00024_20260510190531.h5,2434662,1.0,1487997.0,1.0,,24,278845608,OK,1487997.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00025_20260510190534.h5,39934.234809044,39932.731892356,39931.233740396,39931.266213836,39934.20542362,39952.234809044,39949.233740396,L1_cap_00025_20260510190534.h5,2475865,1.0,1487899.0,1.0,,25,275643472,OK,1487899.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00026_20260510190537.h5,39937.738244136,39935.973378172,39934.234811044,39934.268835208,39937.703999612,39955.738244136,39952.234811044,L1_cap_00026_20260510190537.h5,2799819,1.0,1736882.0,1.0,,26,315611660,OK,1736882.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00027_20260510190541.h5,39940.739650816,39939.244893864,39937.738246136,39937.769641431994,39940.70739552,39958.739650816,39955.738246136,L1_cap_00027_20260510190541.h5,2380158,1.0,1487990.0,1.0,,27,273007472,OK,1487990.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00028_20260510190544.h5,39943.741071552,39942.242049552,39940.739652816,39940.770212964,39943.711885408,39961.741071552,39958.739652816,L1_cap_00028_20260510190544.h5,2407726,1.0,1487983.0,1.0,,28,277193320,OK,1487983.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00029_20260510190547.h5,39946.7430803,39945.241082272,39943.741073552,39943.772633704,39946.713123672,39964.7430803,39961.741073552,L1_cap_00029_20260510190547.h5,2392425,1.0,1488312.0,1.0,,29,275165436,OK,1488312.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00030_20260510190550.h5,39949.744697072,39948.16424064,39946.7430823,39946.771400076,39949.721569316,39967.744697072,39964.7430823,L1_cap_00030_20260510190550.h5,2193683,1.0,1483328.0,1.0,,30,240458504,OK,1483328.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00031_20260510190553.h5,39952.746901872,39951.247655828,39949.744699072,39949.784765264,39952.721401744,39970.746901872,39967.744699072,L1_cap_00031_20260510190553.h5,2006474,1.0,1472744.0,1.0,,31,215016260,OK,1472744.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00032_20260510190556.h5,39955.747846688,39954.345471108,39952.746903872,39952.787887432,39955.719335188,39973.747846688,39970.746903872,L1_cap_00032_20260510190556.h5,2288569,1.0,1487227.0,1.0,,32,259124452,OK,1487227.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00033_20260510190559.h5,39958.749883528,39957.248418448,39955.747848692,39955.777430836,39958.719149376,39976.749883528,39973.747848692,L1_cap_00033_20260510190559.h5,2445912,1.0,1488298.0,1.0,,33,281245408,OK,1488298.0
1.0,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00034_20260510190602.h5,1488298.0,738511.5,1.0,15080.77,1472679.0,1488316.0,19.0,L1_cap_00034_20260510190602.h5,2432278,0.0010056416248471597,1488298.0,1.0,GNSS_SEC_CH1 appears to contain pulse index/count values,34,264510088,REPAIR_CANDIDATE,1488298.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00035_20260510190605.h5,39964.7544193,39963.255509208,39961.751866404,39961.782814556,39964.72401162896,39982.7544193,39979.751866404,L1_cap_00035_20260510190605.h5,2371577,1.0,1488627.0,1.0,,35,266420676,OK,1488627.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00036_20260510190608.h5,39967.756750216,39966.25889612,39964.7544213,39964.785935456,39967.73059640799,39985.756750216,39982.7544213,L1_cap_00036_20260510190608.h5,2397185,1.0,1488431.0,1.0,,36,281634476,OK,1488431.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00037_20260510190611.h5,39970.759417164,39969.267908092,39967.756752216,39967.788370372,39970.732942172,39988.759417164,39985.756752216,L1_cap_00037_20260510190611.h5,2458144,1.0,1488627.0,1.0,,37,288528492,OK,1488627.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00038_20260510190614.h5,39973.75999812,39972.217091772,39970.759419164,39970.788254087995,39973.726821176,39991.75999812,39988.759419164,L1_cap_00038_20260510190614.h5,2411340,1.0,1487577.0,1.0,,38,278061288,OK,1487577.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00039_20260510190617.h5,39976.762077112,39975.262070968,39973.76000012,39973.78792226,39976.728644944,39994.762077112,39991.76000012,L1_cap_00039_20260510190617.h5,2268998,1.0,1487549.0,1.0,,39,257668772,OK,1487549.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00040_20260510190620.h5,39979.7634001,39978.283339064,39976.762083112,39976.793869268,39979.733569952,39997.7634001,39994.762083112,L1_cap_00040_20260510190620.h5,2231556,1.0,1486905.0,3.0,,40,255761388,OK,1486905.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00041_20260510190623.h5,39982.766039108,39981.176347528,39979.7634021,39979.791314236,39982.738016968,40000.766039108,39997.7634021,L1_cap_00041_20260510190623.h5,2151278,1.0,1388737.0,1.0,,41,247513684,OK,1388737.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00042_20260510190626.h5,39985.767516144,39984.280086052,39982.766043108,39982.7970130604,39985.741874016,40003.767516144,40000.766043108,L1_cap_00042_20260510190626.h5,2251591,1.0,1487689.0,2.0,,42,256899592,OK,1487689.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00043_20260510190629.h5,39988.767509196,39987.283109108,39985.767518144,39985.800186388,39988.737047044,40006.767509196,40003.767518144,L1_cap_00043_20260510190629.h5,2297905,1.0,1486793.0,1.0,,43,263545088,OK,1486793.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00044_20260510190632.h5,39991.769938284,39990.260452084,39988.767511196,39988.798727612,39991.738211868,40009.769938284,40006.767511196,L1_cap_00044_20260510190632.h5,2317414,1.0,1487598.0,1.0,,44,266843268,OK,1487598.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00045_20260510190635.h5,39994.770869392,39993.266093184,39991.769940284,39991.795417612004,39994.742090048,40012.770869392,40009.769940284,L1_cap_00045_20260510190635.h5,2272961,1.0,1486709.0,1.0,,45,263811008,OK,1486709.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00046_20260510190638.h5,39997.772080512,39996.2693203,39994.770871392,39994.800775280004,39997.740670612526,40015.772080512,40012.770871392,L1_cap_00046_20260510190638.h5,2260988,1.0,1487192.0,1.0,,46,263952260,OK,1487192.0
2.0000006770715117e-06,0510_f3\L1-TIME_ANGE_DIST_DATA\L1_cap_00047_20260510190641.h5,40000.773473656,39999.274274468,39997.772082512,39997.802793163995,40000.744557015,40018.773473656,40015.772082512,L1_cap_00047_20260510190641.h5,2255026,1.0,1487479.0,1.0,,47,263892256,OK,1487479.0
